recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
841,Concorde,,,1991-09-24,,,,,
842,Concorde,,,1982-03-20,,,,,
843,727-200,727-200,,2001-10-30,BOEING,5,,,
844,DC-8,DC-8,,1990-12-07,DOUGLAS,5,,,
845,737-200,737-200,,1990-06-29,BOEING,5,,,
846,767-200,767-200,,1993-01-09,BOEING,5,,,
847,A330-300,A330-300,,2002-06-15,AIRBUS,5,,,
848,727-200A,727-200,,1990-10-17,BOEING,5,,,
849,DC-8,DC-8,,1990-12-07,DOUGLAS,5,,,
850,DC-10-30F,DC-10-30F,,1999-02-22,DOUGLAS,5,,,
851,Constellation,,,1947-08-05,,,,,
852,727,727,,1999-02-27,BOEING,5,,,
853,767-200ER,767-200ER,,1993-08-31,BOEING,5,,,
854,737-500,737-500,,1997-04-05,BOEING,5,,,
855,990,1990,,1965-02-16,RAINS JOHN B,4,,,
856,DC-10-30,DC-10-30,,1991-09-21,MCDONNELL-DOUGLAS,5,,,
857,737-300,737-300,,1993-02-20,BOEING,5,,,
858,737-300,737-300,,1993-03-14,BOEING,5,,,
859,MD-11,MD-11,,1997-09-16,MCDONNELL DOUGLAS,5,,,
860,737-200,737-200,,1996-06-23,BOEING,5,,,
861,747-400,747-400,,2002-06-24,BOEING,5,,,
862,767-200ER,767-200ER,,1994-08-25,BOEING,5,,,
863,MD-82,MD-2,,1998-10-13,AERO STRUCTURES INC,4,,,
864,727,727,,1965-04-20,BOEING,5,,,
865,DC-10-30,DC-10-30,,1988-01-02,MCDONNELL-DOUGLAS,5,,,
866,727,727,,1994-04-30,BOEING,5,,,
867,757,77,,1994-11-19,BREECHER RAYMOND/BREECHER CARL,4,,,
868,A319,A319,,1999-03-31,AIRBUS,5,,,
869,727-100,727-100,,1987-03-01,BOEING,5,,,
870,747-400,747-400,,2001-10-15,BOEING,5,,,
871,DC-10-30,DC-10-30,,1988-07-30,MCDONNELL-DOUGLAS,5,,,
872,707,70,,1965-04-09,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
873,MD-11,MD-11,,1998-04-02,MCDONNELL DOUGLAS,5,,,
874,DC-10-10,DC-10-10,,1994-10-20,MCDONNELL DOUGLAS,5,,,
875,737-300,737-300,,1993-03-08,BOEING,5,,,
876,767-300ER,767-300ER,,2002-07-29,BOEING,5,,,
877,707-123,707-123,,1962-12-12,BOEING,5,,,
878,880,880,,1962-01-03,CONVAIR,5,,,
879,727,727,,1998-10-24,BOEING,5,,,
880,MD-82,MD-2,,1998-10-18,AERO STRUCTURES INC,4,,,
881,767-300,767-300,,1993-11-12,BOEING,5,,,
882,737-300,737-300,,1992-11-19,BOEING,5,,,
883,727,727,,1965-10-28,BOEING,5,,,
884,707-720B,707-320B,,1963-01-15,BOEING,5,,,
885,737-300,737-300,,1992-10-06,BOEING,5,,,
886,767-300,767-300,,1995-03-02,BOEING,5,,,
887,737-300,737-300,,1993-03-15,BOEING,5,,,
888,720,720,,1963-02-12,AERO COMMANDER,5,,,
889,757-200,757-200CB,,1997-04-02,BOEING,5,,,
890,MD-82,MD-2,,1997-12-12,AERO STRUCTURES INC,4,,,
891,737-200,737-200,,1979-12-26,BOEING,5,,,
892,727,727,,1965-01-29,BOEING,5,,,
893,767-300ER,767-300ER,,2001-02-17,BOEING,5,,,
894,A319,A319,,2002-11-28,AIRBUS,5,,,
895,767-300ER,767-300ER,,2003-05-11,BOEING,5,,,
896,A320,320,,2001-06-27,WINBURN L A/WINBURN S R,4,,,
897,747-400,747-400,,1993-11-19,BOEING,5,,,
898,767-200ER,767-200ER,,1993-04-27,BOEING,5,,,
899,747-400,747-400,,1998-09-14,BOEING,5,,,
900,757,77,,1994-09-18,BREECHER RAYMOND/BREECHER CARL,4,,,
901,747,77,,1997-09-28,BREECHER RAYMOND/BREECHER CARL,4,,,
902,MD-83,MD-80,,2000-02-11,MCDONNELL DOUGLAS,5,,,
903,990,1990,,1963-02-07,RAINS JOHN B,4,,,
904,777,777F,,2000-01-08,BOEING,5,,,
905,L.188 Electra,,,1965-12-19,,,,,
906,767-300ER,767-300ER,,2001-07-16,BOEING,5,,,
907,Concorde,,,1989-04-05,,,,,
908,757-200,757-200CB,,1994-11-29,BOEING,5,,,
909,767-300ER,767-300ER,,1999-06-19,BOEING,5,,,
910,727,727,,1965-12-19,BOEING,5,,,
911,MD-88,MD-88,,1997-12-28,MCDONNELL DOUGLAS AIRCRAFT CO,5,,,
912,707-720,707-370C,,1965-09-28,BOEING,5,,,
913,727,727,,1965-04-05,BOEING,5,,,
914,727,727,,1965-10-28,BOEING,5,,,
915,Viscount,,,1953-01-22,,,,,
916,747-200B,747-200B,,2002-12-18,BOEING,5,,,
917,DC-8-73F,DC-8-73F,,1988-03-28,DOUGLAS,5,,,
918,MD-11F,MD-11F,,1998-08-26,MCDONNELL DOUGLAS,5,,,
919,DC-9-31,DC-9-31,,1976-12-30,DOUGLAS,5,,,
920,Concorde,,,1982-03-29,,,,,
921,Concorde,,,1982-03-28,,,,,
922,DC-8-51,DC-8-51,,1964-02-07,DOUGLAS,5,,,
923,707-123,707-123,,1965-03-12,BOEING,5,,,
924,MD-11,MD-11,,1998-04-15,MCDONNELL DOUGLAS,5,,,
925,707,70,,1965-12-14,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
926,727,727,,1985-07-02,BOEING,5,,,
927,MD-82,MD-2,,1997-12-03,AERO STRUCTURES INC,4,,,
928,707-123,707-123,,1965-02-25,BOEING,5,,,
929,DC-10-30,DC-10-30,,1986-05-24,MCDONNELL-DOUGLAS,5,,,
930,727-100,727-100,,1987-02-24,BOEING,5,,,
931,DC-10-30,DC-10-30,,1989-04-12,MCDONNELL-DOUGLAS,5,,,
932,727,727,,1965-07-06,BOEING,5,,,
933,MD-11,MD-11,,1997-09-29,MCDONNELL DOUGLAS,5,,,
934,707-123,707-123,,1965-02-18,BOEING,5,,,
935,CRJ-200,,,2003-10-18,,,,,
936,MD-11,MD-11,,1998-04-17,MCDONNELL DOUGLAS,5,,,
937,707-720,707-370C,,1965-03-12,BOEING,5,,,
938,757-200,757-200CB,,1994-01-03,BOEING,5,,,
939,880,880,,1965-03-08,CONVAIR,5,,,
940,777-200,777-200,,1999-12-26,BOEING,5,,,
941,757-200,757-200CB,,1993-04-06,BOEING,5,,,
942,707-720B,707-320B,,1962-01-31,BOEING,5,,,
943,707-720,707-370C,,1965-02-18,BOEING,5,,,
944,777-200,777-200,,2002-06-05,BOEING,5,,,
945,747SP,,,1988-10-12,,,,,
946,757-200,757-200CB,,1993-04-18,BOEING,5,,,
947,707-720,707-370C,,1965-03-12,BOEING,5,,,
948,DC-8,DC-8,,1990-12-07,DOUGLAS,5,,,
949,747,77,,1991-08-21,BREECHER RAYMOND/BREECHER CARL,4,,,
950,747SP,,,1976-05-02,,,,,
951,757-200,757-200CB,,1993-02-24,BOEING,5,,,
952,737-300,737-300,,1992-09-07,BOEING,5,,,
953,A319-100,A319-100,,2003-11-06,AIRBUS,5,,,
954,727-222A,727-222,,1982-01-20,BOEING,5,,,
955,MD-82,MD-2,,1997-12-04,AERO STRUCTURES INC,4,,,
956,757,77,,1996-05-05,BREECHER RAYMOND/BREECHER CARL,4,,,
957,747-400,747-400,,1999-12-22,BOEING,5,,,
958,737-500,737-500,,1992-12-20,BOEING,5,,,
959,737-300,737-300,,1993-02-14,BOEING,5,,,
960,727,727,,1994-03-22,BOEING,5,,,
961,A320,320,,1995-07-14,WINBURN L A/WINBURN S R,4,,,
962,777,777F,,2000-03-03,BOEING,5,,,
963,727,727,,1999-12-26,BOEING,5,,,
964,737-300,737-300,,1992-11-28,BOEING,5,,,
965,A318-100,A319-100,,2003-11-12,AIRBUS,5,,,
966,737-300,737-300,,1992-10-17,BOEING,5,,,
967,727-200,727-200,,1995-10-30,BOEING,5,,,
968,737-300,737-300,,1992-11-27,BOEING,5,,,
969,L.188 Electra,,,1966-01-11,,,,,
970,DC-9-31,DC-9-31,,1971-10-01,DOUGLAS,5,,,
971,727,727,,1999-12-27,BOEING,5,,,
972,707-123,707-123,,1959-09-19,BOEING,5,,,
973,Constellation,,,1947-08-07,,,,,
974,737-800,737-800,,2002-07-10,BOEING,5,,,
975,727,727,,1965-02-04,BOEING,5,,,
976,727,727,,1965-02-03,BOEING,5,,,
977,DC-8-52,DC-8-52,,1977-04-27,DOUGLAS,5,,,
978,737-300,737-300,,1992-12-19,BOEING,5,,,
979,MD-11F,MD-11F,,2001-01-07,MCDONNELL DOUGLAS,5,,,
980,767-300ER,767-300ER,,1997-12-03,BOEING,5,,,
981,DC-10-30,DC-10-30,,1988-05-28,MCDONNELL-DOUGLAS,5,,,
982,L-1011-500,L-1011-500,,1992-04-24,LOCKHEED,5,,,
983,767-300ER,767-300ER,,1999-06-23,BOEING,5,,,
984,747,77,,1988-06-16,BREECHER RAYMOND/BREECHER CARL,4,,,
985,A330-300,A330-300,,2003-10-16,AIRBUS,5,,,
986,767-300,767-300,,1991-09-12,BOEING,5,,,
987,A300,A300,,1989-02-17,RONDORF MOTOR CO,4,,,
988,757,77,,1995-01-14,BREECHER RAYMOND/BREECHER CARL,4,,,
989,767-300ER,767-300ER,,1993-09-30,BOEING,5,,,
990,MD-83,MD-80,,1997-11-06,MCDONNELL DOUGLAS,5,,,
991,737-300,737-300,,1993-01-17,BOEING,5,,,
992,757,77,,1994-10-06,BREECHER RAYMOND/BREECHER CARL,4,,,
993,Constellation,,,1954-10-23,,,,,
994,727-100,727-100,,1987-03-01,BOEING,5,,,
995,727-100,727-100,,1987-03-03,BOEING,5,,,
996,747-100,747-100,,1995-11-11,BOEING,5,,,
997,747-100,747-100,,1995-04-26,BOEING,5,,,
998,747-400,747-400,,1996-10-19,BOEING,5,,,
999,747-400,747-400,,1995-01-29,BOEING,5,,,
1000,747-400,747-400,,2001-07-11,BOEING,5,,,
1001,747-400,747-400,,1997-02-18,BOEING,5,,,
1002,747-400,747-400,,2001-03-09,BOEING,5,,,
1003,747-100,747-100,,1993-01-16,BOEING,5,,,
1004,747-100,747-100,,1989-11-06,BOEING,5,,,
1005,DC-10-30,DC-10-30,,1998-02-02,MCDONNELL-DOUGLAS,5,,,
1006,DC-10-10H,DC-10-10,,1989-04-13,MCDONNELL DOUGLAS,5,,,
1007,727,727,,1983-12-27,BOEING,5,,,
1008,737-200,737-200,,1996-01-24,BOEING,5,,,
1009,747-100,747-100,,1993-02-09,BOEING,5,,,
1010,DC-10-40,DC-10-40,,1995-01-10,DOUGLAS,5,,,
1011,747-238B,747-238B,,1988-01-12,BOEING,5,,,
1012,747-200B,747-200B,,2002-07-13,BOEING,5,,,
1013,DC-10-30F,DC-10-30F,,2003-05-07,DOUGLAS,5,,,
1014,747-100,747-100,,2000-11-11,BOEING,5,,,
1015,DC-10-10,DC-10-10,,1983-02-01,MCDONNELL DOUGLAS,5,,,
1016,DC-10-30,DC-10-30,,2002-02-05,MCDONNELL-DOUGLAS,5,,,
1017,747,77,,1994-02-18,BREECHER RAYMOND/BREECHER CARL,4,,,
1018,747-400,747-400,,2000-01-28,BOEING,5,,,
1019,727-100,727-100,,1980-10-26,BOEING,5,,,
1020,DC-10-30,DC-10-30,,1989-09-13,MCDONNELL-DOUGLAS,5,,,
1021,A319,A319,,1999-09-19,AIRBUS,5,,,
1022,737-800,737-800,,2003-06-19,BOEING,5,,,
1023,727,727,,1970-11-04,BOEING,5,,,
1024,757,77,,1994-07-19,BREECHER RAYMOND/BREECHER CARL,4,,,
1025,737-200,737-200,,1980-01-13,BOEING,5,,,
1026,DC-8,DC-8,,1990-12-20,DOUGLAS,5,,,
1027,MD-11F,MD-11F,,2000-06-21,MCDONNELL DOUGLAS,5,,,
1028,DC-9-31,DC-9-31,,1987-12-21,DOUGLAS,5,,,
1029,Jetstream 31,,,1995-04-04,,,,,
1030,757-200PF,757-200PF,,1988-05-20,BOEING,5,,,
1031,737-200,737-200,,1987-04-30,BOEING,5,,,
1032,DC-8,DC-8,,1990-12-20,DOUGLAS,5,,,
1033,737-200,737-200,,1996-01-24,BOEING,5,,,
1034,Jetstream 31,,,1998-02-24,,,,,
1035,727-231,727-231,,1996-08-31,BOEING,5,,,
1036,EMB-120RT,EMB-120RT,,2001-03-17,EMBRAER,5,,,
1037,747-132,747-132,,1997-06-16,BOEING,5,,,
1038,757-200,757-200CB,,2002-03-03,BOEING,5,,,
1039,DC-10-10,DC-10-10,,1994-02-16,MCDONNELL DOUGLAS,5,,,
1040,737-300,737-300,,1996-03-03,BOEING,5,,,
1041,757,77,,1994-11-25,BREECHER RAYMOND/BREECHER CARL,4,,,
1042,727-100,727-100,,1984-12-23,BOEING,5,,,
1043,DC-10-10,DC-10-10,,1996-10-12,MCDONNELL DOUGLAS,5,,,
1044,757,77,,1995-04-29,BREECHER RAYMOND/BREECHER CARL,4,,,
1045,Concorde,,,1990-03-16,,,,,
1046,727,727,,1974-07-01,BOEING,5,,,
1047,MD-82,MD-2,,1989-02-14,AERO STRUCTURES INC,4,,,
1048,A320,320,,1997-02-18,WINBURN L A/WINBURN S R,4,,,
1049,757-200,757-200CB,,2003-01-10,BOEING,5,,,
1050,757-200,757-200CB,,2001-01-08,BOEING,5,,,
1051,757-200,757-200CB,,1995-01-16,BOEING,5,,,
1052,DC-8-52,DC-8-52,,1977-05-09,DOUGLAS,5,,,
1053,727,727,,1975-07-06,BOEING,5,,,
1054,Concorde,,,1990-03-14,,,,,
1055,777-222,777-222,,1995-08-12,BOEING,5,,,
1056,D.H. 106 Comet,,,1960-04-30,,,,,
1057,Concorde,,,1986-04-06,,,,,
1058,Concorde,,,2003-10-08,,,,,
1059,Concorde,,,1985-03-28,,,,,
1060,MD-11,MD-11,,1998-04-03,MCDONNELL DOUGLAS,5,,,
1061,Viscount,,,1953-01-22,,,,,
1062,Viscount,,,1953-07-28,,,,,
1063,MD-11,MD-11,,1997-09-19,MCDONNELL DOUGLAS,5,,,
1064,Viscount,,,1953-06-01,,,,,
1065,146,146,,2001-02-20,ATI/SKYDISC,5,,,
1066,720B,720-B,,1962-01-02,BOEING,5,,,
1067,777-200,777-200,,2001-01-15,BOEING,5,,,
1068,777-200,777-200,,2003-10-26,BOEING,5,,,
1069,DC-10-30,DC-10-30,,2003-06-04,MCDONNELL-DOUGLAS,5,,,
1070,Concorde,,,1988-03-01,,,,,
1071,707-465,707-436,,1962-05-05,BOEING,5,,,
1072,747-400,747-400,,2001-06-08,BOEING,5,,,
1073,Concorde,,,1990-03-14,,,,,
1074,777-222,777-222,,1995-12-17,BOEING,5,,,
1075,A330-300,A330-300,,2001-09-22,AIRBUS,5,,,
1076,767-200ER,767-200ER,,1995-02-11,BOEING,5,,,
1077,737-400,737-400,,1999-03-19,BOEING,5,,,
1078,747-200,747-200,,1995-03-30,BOEING,5,,,
1079,DC-10-30,DC-10-30,,1990-02-17,MCDONNELL-DOUGLAS,5,,,
1080,Concorde,,,1985-02-14,,,,,
1081,747-400,747-400,,2001-08-26,BOEING,5,,,
1082,DC-9,DC-9,,1967-05-09,DOUGLAS,5,,,
1083,DC-8,DC-8,,1960-01-03,DOUGLAS,5,,,
1084,DC-8,DC-8,,1962-03-08,DOUGLAS,5,,,
1085,747-400,747-400,,1995-05-03,BOEING,5,,,
1086,707-123B,707-123B,,1961-12-07,BOEING,5,,,
1087,707,70,,1965-11-26,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
1088,747-400,747-400,,1995-09-24,BOEING,5,,,
1089,DC-6,DC-6,,1948-11-06,DOUGLAS,5,,,
1090,727,727,,1985-07-05,BOEING,5,,,
1091,707-123,707-123,,1963-04-09,BOEING,5,,,
1092,757,77,,1994-11-21,BREECHER RAYMOND/BREECHER CARL,4,,,
1093,707,70,,1965-11-23,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
1094,707-123,707-123,,1965-03-09,BOEING,5,,,
1095,727-200,727-200,,1985-04-06,BOEING,5,,,
1096,777,777F,,2000-09-04,BOEING,5,,,
1097,707-123,707-123,,1959-09-17,BOEING,5,,,
1098,707-720B,707-320B,,1962-03-07,BOEING,5,,,
1099,MD-83,MD-80,,1997-11-27,MCDONNELL DOUGLAS,5,,,
1100,747-400,747-400,,2000-07-25,BOEING,5,,,
1101,DC-10-10,DC-10-10,,2000-09-29,MCDONNELL DOUGLAS,5,,,
1102,DC-7B,DC-7B,,1957-08-14,DOUGLAS,5,,,
1103,A319,A319,,1999-09-25,AIRBUS,5,,,
1104,DC-10-30,DC-10-30,,2002-05-01,MCDONNELL-DOUGLAS,5,,,
1105,DC-7,DC-7,,1954-03-18,DOUGLAS,5,,,
1106,727-231A,727-231,,1974-11-19,BOEING,5,,,
1107,777-200,777-200,,2001-11-07,BOEING,5,,,
1108,757-200,757-200CB,,2002-06-25,BOEING,5,,,
1109,747-400,747-400,,2000-03-01,BOEING,5,,,
1110,707-123,707-123,,1965-03-09,BOEING,5,,,
1111,727-64,727-64,,1966-12-01,BOEING,5,,,
1112,DC-10,DC-1,,1971-12-12,DUTTON WILLIAM A,4,,,
1113,990,1990,,1965-02-21,RAINS JOHN B,4,,,
1114,880,880,,1962-01-15,CONVAIR,5,,,
1115,707-123,707-123,,1963-04-10,BOEING,5,,,
1116,707-720,707-370C,,1965-11-25,BOEING,5,,,
1117,727,727,,1965-09-28,BOEING,5,,,
1118,747-400,747-400,,1995-03-09,BOEING,5,,,
1119,747,77,,1986-09-26,BREECHER RAYMOND/BREECHER CARL,4,,,
1120,747,77,,1986-09-28,BREECHER RAYMOND/BREECHER CARL,4,,,
1121,707-720,707-370C,,1963-04-19,BOEING,5,,,
1122,A320,320,,2000-02-25,WINBURN L A/WINBURN S R,4,,,
1123,747-400,747-400,,1995-03-13,BOEING,5,,,
1124,727,727,,1965-04-13,BOEING,5,,,
1125,747-400,747-400,,1995-03-24,BOEING,5,,,
1126,747-400,747-400,,1995-02-13,BOEING,5,,,
1127,DC-6,DC-6,,1947-06-03,DOUGLAS,5,,,
1128,747-400,747-400,,1998-08-19,BOEING,5,,,
1129,737-300,737-300,,1998-02-16,BOEING,5,,,
1130,707-720B,707-320B,,1965-01-25,BOEING,5,,,
1131,757-200PF,757-200PF,,1988-05-18,BOEING,5,,,
1132,707,70,,1965-03-13,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
1133,DC-9-31,DC-9-31,,1987-12-28,DOUGLAS,5,,,
1134,767-300ER,767-300ER,,1999-05-17,BOEING,5,,,
1135,A330-300,A330-300,,2003-07-02,AIRBUS,5,,,
1136,727-200,727-200,,1991-06-18,BOEING,5,,,
1137,A330-300,A330-300,,2001-09-16,AIRBUS,5,,,
1138,737-300,737-300,,1992-10-18,BOEING,5,,,
1139,DC-10-30,DC-10-30,,1998-06-09,MCDONNELL-DOUGLAS,5,,,
1140,747-400,747-400,,1997-11-27,BOEING,5,,,
1141,747-312,747-312,,1984-06-29,BOEING,5,,,
1142,L-1011,LS-101,,1992-02-08,SUAVE LOUIS M,4,,,
1143,DC-10-10,DC-10-10,,1994-03-28,MCDONNELL DOUGLAS,5,,,
1144,Jetstream Super 31,,,1995-09-03,,,,,
1145,747-400,747-400,,1998-07-06,BOEING,5,,,
1146,747-400,747-400,,2000-04-26,BOEING,5,,,
1147,747-400,747-400,,2003-12-20,BOEING,5,,,
1148,MD-11F,MD-11F,,1998-08-11,MCDONNELL DOUGLAS,5,,,
1149,MD-11F,MD-11F,,2000-04-27,MCDONNELL DOUGLAS,5,,,
1150,MD-11F,MD-11F,,1998-08-26,MCDONNELL DOUGLAS,5,,,
1151,707,70,,1965-07-06,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
1152,MD-11F,MD-11F,,1999-07-08,MCDONNELL DOUGLAS,5,,,
1153,MD-11F,MD-11F,,1998-10-03,MCDONNELL DOUGLAS,5,,,
1154,MD-11F,MD-11F,,1997-04-24,MCDONNELL DOUGLAS,5,,,
1155,707-720B,707-320B,,1962-12-24,BOEING,5,,,
1156,737-300,737-300,,1994-09-03,BOEING,5,,,
1157,767-200ER,767-200ER,,1998-10-01,BOEING,5,,,
1158,747,77,,1988-12-29,BREECHER RAYMOND/BREECHER CARL,4,,,
1159,Concorde,,,1982-10-21,,,,,
1160,Concorde,,,1982-10-21,,,,,
1161,720B,720-B,,1962-09-06,BOEING,5,,,
1162,A320,320,,1999-04-17,WINBURN L A/WINBURN S R,4,,,
1163,DC-10-30,DC-10-30,,2002-07-07,MCDONNELL-DOUGLAS,5,,,
1164,DC-8,DC-8,,1962-02-24,DOUGLAS,5,,,
1165,727,727,,1971-04-18,BOEING,5,,,
1166,747-238B,747-238B,,1996-11-09,BOEING,5,,,
1167,DC-10-30,DC-10-30,,1997-12-22,MCDONNELL-DOUGLAS,5,,,
1168,747-400,747-400,,1996-09-14,BOEING,5,,,
1169,DC-10-10,DC-10-10,,1983-12-19,MCDONNELL DOUGLAS,5,,,
1170,777-200,777-200,,2001-10-25,BOEING,5,,,
1171,777-200,777-200,,2001-03-07,BOEING,5,,,
1172,767-300ER,767-300ER,,1995-11-24,BOEING,5,,,
1173,DC-8-33,DC-8-33,,1969-10-01,DOUGLAS,5,,,
1174,757-200,757-200CB,,1995-04-16,BOEING,5,,,
1175,Concorde,,,1986-09-17,,,,,
1176,747,77,,1988-06-24,BREECHER RAYMOND/BREECHER CARL,4,,,
1177,767-300ER,767-300ER,,1999-05-16,BOEING,5,,,
1178,757-200,757-200CB,,1997-06-21,BOEING,5,,,
1179,757-200,757-200CB,,1994-07-05,BOEING,5,,,
1180,MD-82,MD-2,,1997-12-30,AERO STRUCTURES INC,4,,,
1181,747,77,,1988-12-12,BREECHER RAYMOND/BREECHER CARL,4,,,
1182,757-200,757-200CB,,1995-02-25,BOEING,5,,,
1183,747-228B,747-228B,,1986-10-27,BOEING,5,,,
1184,767-201ER,767-219ER,,1991-06-20,BOEING,5,,,
1185,747-122,747-122,,1989-05-30,BOEING,5,,,
1186,757-200,757-200CB,,1997-07-20,BOEING,5,,,
1187,767-300ER,767-300ER,,1995-04-09,BOEING,5,,,
1188,777,777F,,1997-12-05,BOEING,5,,,
1189,777,777F,,1996-11-04,BOEING,5,,,
1190,727,727,,1989-02-13,BOEING,5,,,
1191,757-200,757-200CB,,1994-07-12,BOEING,5,,,
1192,DC-10-30,DC-10-30,,1992-04-06,MCDONNELL-DOUGLAS,5,,,
1193,747,77,,1993-09-18,BREECHER RAYMOND/BREECHER CARL,4,,,
1194,757,77,,1998-08-03,BREECHER RAYMOND/BREECHER CARL,4,,,
1195,727-251,727-251,,1978-12-17,BOEING,5,,,
1196,727,727,,1992-09-25,BOEING,5,,,
1197,MD-11F,MD-11F,,1998-08-26,MCDONNELL DOUGLAS,5,,,
1198,727,727,,1974-08-31,BOEING,5,,,
1199,720B,720-B,,1976-12-01,BOEING,5,,,
1200,747-400,747-400,,1996-12-28,BOEING,5,,,
1201,767-300ER,767-300ER,,2000-09-01,BOEING,5,,,
1202,MD-82,MD-2,,1997-12-18,AERO STRUCTURES INC,4,,,
1203,DC-8-40,DHC-8-401,,1960-05-28,BOMBARDIER INC,5,,,
1204,Concorde,,,1988-03-02,,,,,
1205,767-300ER,767-300ER,,1998-01-05,BOEING,5,,,
1206,767-300,767-300,,1993-09-19,BOEING,5,,,
1207,777,777F,,2000-01-12,BOEING,5,,,
1208,MD-11F,MD-11F,,1998-09-20,MCDONNELL DOUGLAS,5,,,
1209,727,727,,1988-01-25,BOEING,5,,,
1210,707-123,707-123,,1965-02-14,BOEING,5,,,
1211,DC-9-31,DC-9-31,,1979-07-09,DOUGLAS,5,,,
1212,707-720B,707-320B,,1962-01-23,BOEING,5,,,
1213,990,1990,,1965-02-22,RAINS JOHN B,4,,,
1214,727,727,,1965-12-07,BOEING,5,,,
1215,707-720,707-370C,,1962-12-23,BOEING,5,,,
1216,707-465,707-436,,1962-05-06,BOEING,5,,,
1217,747-400,747-400,,1998-11-13,BOEING,5,,,
1218,880,880,,1960-10-30,CONVAIR,5,,,
1219,A320,320,,1995-08-08,WINBURN L A/WINBURN S R,4,,,
1220,Constellation,,,1947-07-23,,,,,
1221,880,880,,1962-05-13,CONVAIR,5,,,
1222,Concorde,,,1990-03-14,,,,,
1223,767-300ER,767-300ER,,1997-11-21,BOEING,5,,,
1224,727-200,727-200,,1991-07-26,BOEING,5,,,
1225,DC-8,DC-8,,1963-06-02,DOUGLAS,5,,,
1226,A310-300,A310-300,,1988-12-24,AIRBUS INDUSTRIE,5,,,
1227,990,1990,,1963-07-20,RAINS JOHN B,4,,,
1228,777-200,777-200,,2001-08-19,BOEING,5,,,
1229,757-200,757-200CB,,1998-04-11,BOEING,5,,,
1230,707-720,707-370C,,1961-08-13,BOEING,5,,,
1231,747SP,,,1976-05-01,,,,,
1232,Concorde,,,1987-07-13,,,,,
1233,767-200,767-200,,1996-06-27,BOEING,5,,,
1234,A300,A300,,1989-02-17,RONDORF MOTOR CO,4,,,
1235,747-400,747-400,,1998-07-05,BOEING,5,,,
1236,880,880,,1965-07-23,CONVAIR,5,,,
1237,757,77,,1998-01-11,BREECHER RAYMOND/BREECHER CARL,4,,,
1238,Concorde,,,1996-02-07,,,,,
1239,707-720B,707-320B,,1962-08-15,BOEING,5,,,
1240,767-300ER,767-300ER,,2001-07-23,BOEING,5,,,
1241,767-300ER,767-300ER,,1997-11-06,BOEING,5,,,
1242,L-1049E Super Constellation,,,1954-11-26,,,,,
1243,727,727,,1965-07-06,BOEING,5,,,
1244,Concorde,,,1982-10-20,,,,,
1245,Constellation,,,1947-05-28,,,,,
1246,MD-83,MD-80,,2000-08-16,MCDONNELL DOUGLAS,5,,,
1247,767-300ER,767-300ER,,1997-12-23,BOEING,5,,,
1248,Constellation,,,1947-07-23,,,,,
1249,A300,A300,,1989-02-17,RONDORF MOTOR CO,4,,,
1250,727-200,727-200,,1992-10-29,BOEING,5,,,
1251,Concorde,,,1982-10-21,,,,,
1252,707-123B,707-123B,,1961-10-15,BOEING,5,,,
1253,DC-9-31,DC-9-31,,1978-03-07,DOUGLAS,5,,,
1254,707-300,707-300,,1974-02-19,BOEING,5,,,
1255,DC-10-10,DC-10-10,,1979-09-28,MCDONNELL DOUGLAS,5,,,
1256,707-123B,707-123B,,1961-08-18,BOEING,5,,,
1257,757,77,,1999-09-26,BREECHER RAYMOND/BREECHER CARL,4,,,
1258,777-200,777-200,,2001-12-12,BOEING,5,,,
1259,747,77,,1995-09-06,BREECHER RAYMOND/BREECHER CARL,4,,,
1260,747-200,747-200,,1990-05-17,BOEING,5,,,
1261,767-300ER,767-300ER,,2000-12-25,BOEING,5,,,
1262,767-300ER,767-300ER,,2002-08-05,BOEING,5,,,
1263,757-200,757-200CB,,1995-11-15,BOEING,5,,,
1264,A320,320,,1995-07-14,WINBURN L A/WINBURN S R,4,,,
1265,737-200,737-200,,1989-06-13,BOEING,5,,,
1266,737-200,737-200,,1989-06-11,BOEING,5,,,
1267,MD-11F,MD-11F,,2000-06-10,MCDONNELL DOUGLAS,5,,,
1268,DC-10-30F,DC-10-30F,,1995-08-11,DOUGLAS,5,,,
1269,737-300,737-300,,2002-11-12,BOEING,5,,,
1270,Jetstream Super 31,,,1995-09-04,,,,,
1271,737-232,737-232,,1989-05-28,BOEING,5,,,
1272,757-200,757-200CB,,1993-12-31,BOEING,5,,,
1273,737-300,737-300,,1992-10-11,BOEING,5,,,
1274,757,77,,1993-12-26,BREECHER RAYMOND/BREECHER CARL,4,,,
1275,747,77,,1988-06-15,BREECHER RAYMOND/BREECHER CARL,4,,,
1276,EMB-120RT,EMB-120RT,,2001-03-07,EMBRAER,5,,,
1277,737-300,737-300,,1992-12-12,BOEING,5,,,
