recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
9427,Baron B55,,,1971-08-08,,,,,
9428,310N,310N,,1975-09-11,CESSNA,5,,,
9429,Baron BE58,,,1995-10-31,,,,,
9430,Baron B55,,,1971-08-07,,,,,
9431,T210 Centurion,,,1980-12-02,,,,,
9432,Aztec,,,1971-07-12,,,,,
9433,Baron B55,,,1971-08-08,,,,,
9434,Baron 56TC,,,1987-03-23,,,,,
9435,Malibu,,,1987-08-01,,,,,
9436,Malibu,,,1986-08-15,,,,,
9437,Malibu,,,1987-08-01,,,,,
9438,Malibu,,,1984-02-19,,,,,
9439,Malibu,,,1987-06-13,,,,,
9440,Baron B55,,,1971-08-07,,,,,
9441,T210 Centurion,,,1980-12-02,,,,,
9442,Seneca II,,,1986-01-28,,,,,
9443,PA-32R-300 Lance,,,1986-06-13,,,,,
9444,PA-46-310P,PA-46-310P,,1992-05-04,NEW PIPER AIRCRAFT INC,4,,,
9445,Aerostar 601P,,,1993-07-28,,,,,
9446,Malibu,,,1986-04-27,,,,,
9447,Aztec,,,1985-03-04,,,,,
9448,Aztec,,,1985-03-04,,,,,
9449,PA-31-350,PA-31-350,,1997-02-20,PIPER,5,,,
9450,P206,P206,,1968-06-25,CESSNA,4,,,
9451,Aztec,,,1985-03-05,,,,,
9452,PA-46-310P,PA-46-310P,,1991-01-27,NEW PIPER AIRCRAFT INC,4,,,
9453,PA-23 Aztec,,,1986-06-16,,,,,
9454,Aerostar 601P,,,1985-01-16,,,,,
9455,Seneca II,,,1985-12-24,,,,,
9456,PA-32R-300 Lance,,,1986-07-03,,,,,
9457,Malibu,,,1987-06-23,,,,,
9458,PA-30 Twin Comanche,,,1969-06-02,,,,,
9459,Malibu,,,1987-02-07,,,,,
9460,PA-46-310P Malibu,,,1987-11-23,,,,,
9461,Bonanza A36,,,1994-05-19,,,,,
9462,310,310,,1992-07-12,SCHRECK FBA,4,,,
9463,Baron,,,1989-05-10,,,,,
9464,Baron B55,,,1971-08-10,,,,,
9465,Seneca II,,,1986-01-16,,,,,
9466,310N,310N,,1975-08-10,CESSNA,5,,,
9467,Bonanza F33A,,,1993-11-14,,,,,
9468,Baron 58,,,1994-02-02,,,,,
9469,Baron 58,,,1994-02-02,,,,,
9470,Baron 58,,,1994-02-02,,,,,
9471,Baron 58,,,1994-02-02,,,,,
9472,Baron 58,,,1994-02-02,,,,,
9473,Baron 58,,,1994-02-01,,,,,
9474,Malibu,,,1987-02-01,,,,,
9475,Malibu,,,1987-06-11,,,,,
9476,337G Skymaster,,,1993-07-13,,,,,
9477,Baron 58,,,1994-05-02,,,,,
9478,PA-30 Twin Comanche,,,1969-06-02,,,,,
9479,T303 Crusader,,,1994-05-22,,,,,
9480,PA-60-602P,PA-60-602P,,1995-08-14,PIPER,5,,,
9481,PA-23 Aztec,,,1986-06-25,,,,,
9482,T210 Centurion,,,1980-11-29,,,,,
9483,Malibu,,,1987-04-01,,,,,
9484,Malibu,,,1986-05-24,,,,,
9485,T210 Centurion,,,1980-12-01,,,,,
9486,FU 24-950,,,1978-09-10,,,,,
9487,Bonanza V35B,,,2001-04-26,,,,,
9488,PA-32 Lance,,,1986-07-01,,,,,
9489,Malibu,,,1987-02-09,,,,,
